what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1455786543269
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1455786557496
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1455786568572
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1455786675323
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1455786678303
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1455786678303
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455786679192
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455786681189
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1455786681267
closed,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1455786681267
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455786684527
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1455786800591
started,bundle,org.eclipse.wst.dtd.core,1.1.402.v201109061850,"org.eclipse.wst.dtd.core",1455786800903
error,log,,,"Failed to load properties file for project 'Count'",1455786801028
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455786801059
opened,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1455786801262
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1455786801309
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1455786801356
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1455786812213
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1455786828422
no handler,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1455786829670
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1455786833928
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1455786836471
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1455786836502
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1455786859372
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455786859856
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455786860059
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455786905080
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455786930867
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1455786989398
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1455786991302
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1455786992472
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455786996621
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455786996793
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455787013719
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455787013859
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1455787094745
opened,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1455787097850
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1455787097897
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1455787099925
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455787099925
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455787101500
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1455787101531
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1455787103013
closed,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1455787103013
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1455787105541
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1455787105775
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1455787105821
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455787185537
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455787185678
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455787185881
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455787188423
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455787192729
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455787223851
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455787237376
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455787237532
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1455787257220
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455787262795
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455787269868
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1455787271892
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1455787272219
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1455787288521
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455787292357
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455787335727
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1455787339296
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1455787341838
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1455787350512
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1455787351167
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1455787408544
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1455787408747
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1455787493346
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455787497898
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455787547901
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1455787636352
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455787858184
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455787860196
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1455788860813
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455788867085
error,log,,,"Failed to load properties file for project 'Calc'",1455788884385
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455788884416
opened,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1455788884557
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1455788884588
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1455788886897
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1455788919236
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1455788929157
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1455788996456
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1455788998265
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1455789003117
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1455789006720
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1455789009887
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1455789015441
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1455789021322
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1455789026439
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1455789029341
